Year,n_stocked,n,acre,ha,nha,kg,kg_ha
1995,20000,20000,3026,1231,16,16330,13
1996,0,16508,3232,1315,13,29305,22
1997,680,14306,2925,1190,12,42152,35
1998,0,11808,3185,1296,9,52322,40
1999,5000,14747,3316,1349,11,63276,47
2000,25392,12172,2731,1111,11,70068,63
2001,0,10047,2340,952,11,73792,78
2002,0,8293,3121,1270,7,74594,59
2003,25392,32237,3316,1349,24,93670,69
2004,0,26608,2836,1154,23,106619,92
2005,0,21963,3761,1530,14,117421,77
2006,7000,25128,2957,1203,21,129929,108
2007,7720,28261,1204,490,58,142911,292
2008,100,23427,1214,494,47,150352,304
2009,6520,25857,1440,586,44,158621,271
2010,7347,28689,1625,661,43,167286,253
2011,8442,37127,1413,575,65,183230,319
2012,8150,38321,1534,624,61,198389,318
2013,8238,39868,671,273,146,214343,785
2014,0,32881,335,136,241,223389,1639
2015,0,27141,325,132,205,226707,1714
2016,1260,23470,145,59,398,224457,3805
2017,0,19373,374,152,127,216570,1423
